timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778557761.121830,599616079774369476,72,-1012.0,2.0,-186.0,1028.95
1778557761.161830,599616079814369476,72,-1005.0,7.0,-179.0,1020.84
1778557761.201830,599616079854369476,72,-1013.0,4.0,-172.0,1027.51
1778557761.241830,599616079894369476,72,-1006.0,17.0,-193.0,1024.49
1778557761.281830,599616079934369476,72,-1014.0,16.0,-169.0,1028.11
1778557761.321830,599616079974369476,72,-1009.0,20.0,-164.0,1022.44
1778557761.361830,599616080014369476,72,-1011.0,17.0,-168.0,1025.0
1778557761.401830,599616080054369476,72,-1011.0,11.0,-165.0,1024.43
1778557761.441830,599616080094369476,72,-1012.0,14.0,-156.0,1024.05
1778557761.481830,599616080134369476,72,-1012.0,15.0,-154.0,1023.76
1778557761.521830,599616080174369476,72,-1012.0,15.0,-142.0,1022.02
1778557761.561830,599616080214369476,72,-1013.0,21.0,-136.0,1022.3
1778557761.601830,599616080254369476,72,-1016.0,20.0,-136.0,1025.26
1778557761.641830,599616080294369476,72,-1015.0,22.0,-130.0,1023.53
1778557761.681830,599616080334369476,72,-1013.0,22.0,-128.0,1021.29
1778557761.721830,599616080374369476,72,-1013.0,23.0,-128.0,1021.31
1778557761.761830,599616080414369476,72,-1013.0,22.0,-129.0,1021.42
1778557761.801830,599616080454369476,72,-1014.0,20.0,-129.0,1022.37
1778557761.841830,599616080494369476,72,-1012.0,19.0,-126.0,1019.99
1778557761.881830,599616080534369476,72,-1015.0,17.0,-136.0,1024.21
1778557761.921830,599616080574369476,72,-1013.0,15.0,-130.0,1021.42
1778557761.961830,599616080614369476,72,-1018.0,16.0,-124.0,1025.65
1778557762.001830,599616080654369476,72,-1013.0,18.0,-140.0,1022.79
1778557762.041830,599616080694369476,72,-1015.0,16.0,-127.0,1023.04
1778557762.081830,599616080734369476,72,-1012.0,17.0,-124.0,1019.71
1778557762.121830,599616080774369476,72,-1013.0,19.0,-127.0,1021.11
1778557762.161830,599616080814369476,72,-1018.0,12.0,-124.0,1025.59
1778557762.201830,599616080854369476,72,-1018.0,7.0,-119.0,1024.96
1778557762.241830,599616080894369476,72,-1015.0,15.0,-122.0,1022.42
1778557762.281830,599616080934369476,72,-1007.0,18.0,-119.0,1014.17
1778557762.321830,599616080974369476,72,-1011.0,22.0,-111.0,1017.31
1778557762.361830,599616081014369476,72,-1013.0,24.0,-116.0,1019.9
1778557762.401830,599616081054369476,72,-1016.0,10.0,-120.0,1023.11
1778557762.441830,599616081094369476,72,-1017.0,13.0,-118.0,1023.91
1778557762.481820,599616081113853210,108,-1016.0,15.0,-121.0,1023.29
1778557762.521820,599616081153853210,108,-1014.0,22.0,-123.0,1021.67
1778557762.561820,599616081193853210,108,-1013.0,25.0,-126.0,1021.11
1778557762.601820,599616081233853210,108,-1012.0,23.0,-119.0,1019.23
1778557762.641820,599616081273853210,108,-1017.0,22.0,-132.0,1025.77
1778557762.681820,599616081313853210,108,-1012.0,19.0,-115.0,1018.69
1778557762.721820,599616081353853210,108,-1016.0,22.0,-130.0,1024.52
1778557762.761820,599616081393853210,108,-1014.0,17.0,-130.0,1022.44
1778557762.801820,599616081433853210,108,-1016.0,20.0,-122.0,1023.49
1778557762.841820,599616081473853210,108,-1015.0,22.0,-122.0,1022.54
1778557762.881820,599616081513853210,108,-1014.0,24.0,-121.0,1021.48
1778557762.921820,599616081553853210,108,-1015.0,21.0,-122.0,1022.52
1778557762.961820,599616081593853210,108,-1014.0,20.0,-125.0,1021.87
1778557763.001820,599616081633853210,108,-1015.0,15.0,-129.0,1023.27
1778557763.041820,599616081673853210,108,-1014.0,20.0,-121.0,1021.39
1778557763.081820,599616081713853210,108,-1015.0,18.0,-129.0,1023.32
1778557763.121820,599616081753853210,108,-1014.0,22.0,-131.0,1022.66
1778557763.161820,599616081793853210,108,-1014.0,19.0,-133.0,1022.86
1778557763.201820,599616081833853210,108,-1014.0,20.0,-139.0,1023.68
1778557763.241820,599616081873853210,108,-1013.0,20.0,-139.0,1022.69
1778557763.281820,599616081913853210,108,-1013.0,18.0,-146.0,1023.63
1778557763.321820,599616081953853210,108,-1013.0,17.0,-152.0,1024.48
1778557763.361820,599616081993853210,108,-1011.0,17.0,-145.0,1021.49
1778557763.401820,599616082033853210,108,-1010.0,17.0,-161.0,1022.89
1778557763.441820,599616082073853210,108,-1010.0,21.0,-141.0,1020.01
1778557763.481820,599616082113853210,108,-1004.0,22.0,-169.0,1018.36
1778557763.521820,599616082153853210,108,-1012.0,16.0,-140.0,1021.76
1778557763.561820,599616082193853210,108,-1016.0,14.0,-123.0,1023.51
1778557763.601820,599616082233853210,108,-1016.0,18.0,-135.0,1025.09
1778557763.641820,599616082273853210,108,-1006.0,12.0,-141.0,1015.9
1778557763.681820,599616082313853210,108,-1006.0,18.0,-115.0,1012.71
1778557763.721820,599616082353853210,108,-1017.0,24.0,-112.0,1023.43
1778557763.761820,599616082393853210,108,-1016.0,22.0,-119.0,1023.18
1778557763.801820,599616082433853210,108,-994.0,22.0,-128.0,1002.45
1778557763.841820,599616082473853210,108,-980.0,15.0,-123.0,987.8
1778557763.881820,599616082513853210,108,-1013.0,5.0,-113.0,1019.3
1778557763.876912,599616082534862840,144,-1053.0,36.0,-128.0,1061.36
1778557763.916912,599616082574862840,144,-1022.0,23.0,-137.0,1031.4
1778557763.956912,599616082614862840,144,-1011.0,26.0,-109.0,1017.19
1778557763.996912,599616082654862840,144,-1020.0,36.0,-104.0,1025.92
1778557764.036912,599616082694862840,144,-1023.0,13.0,-116.0,1029.64
1778557764.076912,599616082734862840,144,-1029.0,10.0,-171.0,1043.16
1778557764.116912,599616082774862840,144,-998.0,35.0,-136.0,1007.83
1778557764.156912,599616082814862840,144,-1004.0,39.0,-134.0,1013.65
1778557764.196912,599616082854862840,144,-1004.0,39.0,-144.0,1015.02
1778557764.236912,599616082894862840,144,-1016.0,11.0,-152.0,1027.37
1778557764.276912,599616082934862840,144,-991.0,36.0,-126.0,999.63
1778557764.316912,599616082974862840,144,-1016.0,28.0,-129.0,1024.54
1778557764.356912,599616083014862840,144,-1014.0,8.0,-121.0,1021.23
1778557764.396912,599616083054862840,144,-1024.0,27.0,-123.0,1031.71
1778557764.436912,599616083094862840,144,-1017.0,43.0,-134.0,1026.69
1778557764.476912,599616083134862840,144,-1014.0,29.0,-148.0,1025.15
1778557764.516912,599616083174862840,144,-1007.0,32.0,-134.0,1016.38
1778557764.556912,599616083214862840,144,-991.0,42.0,-150.0,1003.17
1778557764.596912,599616083254862840,144,-1009.0,10.0,-174.0,1023.94
1778557764.636912,599616083294862840,144,-1017.0,-25.0,-143.0,1027.31
1778557764.676912,599616083334862840,144,-1015.0,-14.0,-147.0,1025.69
1778557764.716912,599616083374862840,144,-1007.0,11.0,-165.0,1020.49
1778557764.756912,599616083414862840,144,-1008.0,43.0,-164.0,1022.16
1778557764.796912,599616083454862840,144,-987.0,52.0,-173.0,1003.4
1778557764.836912,599616083494862840,144,-1003.0,16.0,-180.0,1019.15
1778557764.876912,599616083534862840,144,-1021.0,45.0,-115.0,1028.44
1778557764.916912,599616083574862840,144,-1056.0,44.0,-121.0,1063.82
1778557764.956912,599616083614862840,144,-1022.0,39.0,-123.0,1030.11
1778557764.996912,599616083654862840,144,-1011.0,41.0,-105.0,1017.26
1778557765.036912,599616083694862840,144,-1018.0,57.0,-108.0,1025.3
1778557765.076912,599616083734862840,144,-1016.0,101.0,-122.0,1028.27
1778557765.116912,599616083774862840,144,-985.0,49.0,-155.0,998.32
1778557765.156912,599616083814862840,144,-1008.0,6.0,-160.0,1020.64
1778557765.196912,599616083854862840,144,-1011.0,-26.0,-168.0,1025.19
1778557765.236912,599616083894862840,144,-1026.0,39.0,-120.0,1033.73
1778557765.276912,599616083934862840,144,-1050.0,58.0,-155.0,1062.96
1778557765.316837,599616083955475754,180,-1020.0,40.0,-70.0,1023.18
1778557765.356837,599616083995475754,180,-1014.0,99.0,-115.0,1025.29
1778557765.396837,599616084035475754,180,-1053.0,62.0,-149.0,1065.3
1778557765.436837,599616084075475754,180,-918.0,19.0,-186.0,936.85
1778557765.476837,599616084115475754,180,-988.0,-9.0,-179.0,1004.12
1778557765.516837,599616084155475754,180,-979.0,27.0,-175.0,994.88
1778557765.556837,599616084195475754,180,-1017.0,7.0,-277.0,1054.07
1778557765.596837,599616084235475754,180,-1021.0,-39.0,-197.0,1040.56
1778557765.636837,599616084275475754,180,-981.0,12.0,-235.0,1008.83
1778557765.676837,599616084315475754,180,-1011.0,-7.0,-195.0,1029.66
1778557765.716837,599616084355475754,180,-1006.0,-29.0,-234.0,1033.26
1778557765.756837,599616084395475754,180,-996.0,-10.0,-188.0,1013.64
1778557765.796837,599616084435475754,180,-1013.0,-22.0,-150.0,1024.28
1778557765.836837,599616084475475754,180,-1006.0,-19.0,-174.0,1021.11
1778557765.876837,599616084515475754,180,-986.0,60.0,-202.0,1008.27
1778557765.916837,599616084555475754,180,-994.0,55.0,-205.0,1016.41
1778557765.956837,599616084595475754,180,-990.0,144.0,-180.0,1016.48
1778557765.996837,599616084635475754,180,-1014.0,-36.0,-142.0,1024.53
1778557766.036837,599616084675475754,180,-1041.0,-61.0,-227.0,1067.21
1778557766.076837,599616084715475754,180,-1005.0,-64.0,-140.0,1016.72
1778557766.116837,599616084755475754,180,-1036.0,-4.0,-193.0,1053.83
1778557766.156837,599616084795475754,180,-1005.0,6.0,-147.0,1015.71
1778557766.196837,599616084835475754,180,-1016.0,-5.0,-218.0,1039.14
1778557766.236837,599616084875475754,180,-997.0,-29.0,-164.0,1010.81
1778557766.276837,599616084915475754,180,-1028.0,31.0,-206.0,1048.9
1778557766.316837,599616084955475754,180,-975.0,37.0,-173.0,990.92
