timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778559733.865532,599616047317513035,0,9
1778559733.873224,599616047325205342,0,-106
1778559733.880916,599616047332897649,0,-237
1778559733.888608,599616047340589956,0,-339
1778559733.896301,599616047348282263,0,-419
1778559733.903993,599616047355974570,0,-480
1778559733.911685,599616047363666877,0,-514
1778559733.919378,599616047371359184,0,-531
1778559733.927070,599616047379051491,0,-540
1778559733.934762,599616047386743798,0,-535
1778559733.942455,599616047394436105,0,-526
1778559733.950147,599616047402128412,0,-523
1778559733.957839,599616047409820719,0,-518
1778559733.965532,599616047417513026,0,-514
1778559733.973224,599616047425205333,0,-509
1778559733.980916,599616047432897640,0,-502
1778559733.988609,599616047440589947,0,-487
1778559733.996301,599616047448282254,0,-475
1778559734.003993,599616047455974561,0,-465
1778559734.011686,599616047463666868,0,-453
1778559734.019378,599616047471359175,0,-446
1778559734.027070,599616047479051482,0,-441
1778559734.034762,599616047486743789,0,-429
1778559734.042455,599616047494436096,0,-414
1778559734.050147,599616047502128403,0,-402
1778559734.057839,599616047509820710,0,-400
1778559734.065532,599616047517513017,0,-400
1778559734.073224,599616047525205324,0,-392
1778559734.080916,599616047532897631,0,-378
1778559734.088609,599616047540589938,0,-373
1778559734.096301,599616047548282245,0,-378
1778559734.103993,599616047555974552,0,-371
1778559734.111686,599616047563666859,0,-368
1778559734.119378,599616047571359166,0,-378
1778559734.127070,599616047579051473,0,-373
1778559734.134763,599616047586743780,0,-368
1778559734.142455,599616047594436087,0,-373
1778559734.150147,599616047602128394,0,-375
1778559734.157839,599616047609820701,0,-373
1778559734.165532,599616047617513008,0,-363
1778559734.173224,599616047625205315,0,-358
1778559734.180916,599616047632897622,0,-366
1778559734.188609,599616047640589929,0,-373
1778559734.196301,599616047648282236,0,-385
1778559734.203993,599616047655974543,0,-392
1778559734.211685,599616047663666850,0,-380
1778559734.219378,599616047671359157,0,-349
1778559734.227070,599616047679051464,0,-317
1778559734.234762,599616047686743771,0,-310
1778559734.242455,599616047694436078,0,-320
1778559734.250147,599616047702128385,0,-322
1778559734.257839,599616047709820692,0,-334
1778559734.265532,599616047717512999,0,-358
1778559734.273224,599616047725205306,0,-366
1778559734.280916,599616047732897613,0,-361
1778559734.288609,599616047740589920,0,-354
1778559734.296301,599616047748282227,0,-346
1778559734.303993,599616047755974534,0,-346
1778559734.311686,599616047763666841,0,-351
1778559734.319378,599616047771359148,0,-327
1778559734.327070,599616047779051455,0,-259
1778559734.334762,599616047786743762,0,-162
1778559734.342455,599616047794436069,0,-67
1778559734.350147,599616047802128376,0,118
1778559734.357839,599616047809820683,0,375
1778559734.365532,599616047817512990,0,7
1778559734.373224,599616047825205297,0,-977
1778559734.380916,599616047832897604,0,-1057
1778559734.388608,599616047840589911,0,-293
1778559734.396301,599616047848282218,0,-198
1778559734.403993,599616047855974525,0,-453
1778559734.411685,599616047863666832,0,-324
1778559734.419378,599616047871359139,0,-252
1778559734.404509,599616047878805178,73,-339
1778559734.412201,599616047886497485,73,-312
1778559734.419894,599616047894189792,73,-266
1778559734.427586,599616047901882099,73,-288
1778559734.435278,599616047909574406,73,-291
1778559734.442971,599616047917266713,73,-271
1778559734.450663,599616047924959020,73,-274
1778559734.458355,599616047932651327,73,-278
1778559734.466048,599616047940343634,73,-257
1778559734.473740,599616047948035941,73,-237
1778559734.481432,599616047955728248,73,-237
1778559734.489125,599616047963420555,73,-235
1778559734.496817,599616047971112862,73,-223
1778559734.504509,599616047978805169,73,-213
1778559734.512201,599616047986497476,73,-201
1778559734.519894,599616047994189783,73,-189
1778559734.527586,599616048001882090,73,-172
1778559734.535278,599616048009574397,73,-155
1778559734.542971,599616048017266704,73,-130
1778559734.550663,599616048024959011,73,-94
1778559734.558355,599616048032651318,73,-55
1778559734.566047,599616048040343625,73,-16
1778559734.573740,599616048048035932,73,26
1778559734.581432,599616048055728239,73,70
1778559734.589124,599616048063420546,73,101
1778559734.596817,599616048071112853,73,123
1778559734.604509,599616048078805160,73,133
1778559734.612201,599616048086497467,73,126
1778559734.619894,599616048094189774,73,92
1778559734.627586,599616048101882081,73,16
1778559734.635278,599616048109574388,73,-97
1778559734.642971,599616048117266695,73,-225
1778559734.650663,599616048124959002,73,-337
1778559734.658355,599616048132651309,73,-424
1778559734.666048,599616048140343616,73,-485
1778559734.673740,599616048148035923,73,-523
1778559734.681432,599616048155728230,73,-543
1778559734.689124,599616048163420537,73,-548
1778559734.696817,599616048171112844,73,-543
1778559734.704509,599616048178805151,73,-538
1778559734.712201,599616048186497458,73,-533
1778559734.719894,599616048194189765,73,-526
1778559734.727586,599616048201882072,73,-514
1778559734.735278,599616048209574379,73,-506
1778559734.742970,599616048217266686,73,-506
1778559734.750663,599616048224958993,73,-497
1778559734.758355,599616048232651300,73,-489
1778559734.766047,599616048240343607,73,-482
1778559734.773740,599616048248035914,73,-468
1778559734.781432,599616048255728221,73,-460
1778559734.789124,599616048263420528,73,-451
1778559734.796817,599616048271112835,73,-438
1778559734.804509,599616048278805142,73,-434
1778559734.812201,599616048286497449,73,-424
1778559734.819894,599616048294189756,73,-409
1778559734.827586,599616048301882063,73,-402
1778559734.835278,599616048309574370,73,-400
1778559734.842971,599616048317266677,73,-388
1778559734.850663,599616048324958984,73,-385
1778559734.858355,599616048332651291,73,-388
1778559734.866047,599616048340343598,73,-385
1778559734.873740,599616048348035905,73,-380
1778559734.881432,599616048355728212,73,-383
1778559734.889124,599616048363420519,73,-380
1778559734.896817,599616048371112826,73,-380
1778559734.904509,599616048378805133,73,-380
1778559734.912201,599616048386497440,73,-380
1778559734.919894,599616048394189747,73,-390
1778559734.927586,599616048401882054,73,-404
1778559734.935278,599616048409574361,73,-404
1778559734.942971,599616048417266668,73,-385
1778559734.950663,599616048424958975,73,-354
1778559734.958355,599616048432651282,73,-337
1778559734.994128,599616048440092234,146,-327
1778559735.001821,599616048447784541,146,-320
1778559735.009513,599616048455476848,146,-332
1778559735.017205,599616048463169155,146,-361
1778559735.024898,599616048470861462,146,-375
1778559735.032590,599616048478553769,146,-366
1778559735.040282,599616048486246076,146,-363
1778559735.047975,599616048493938383,146,-368
1778559735.055667,599616048501630690,146,-366
1778559735.063359,599616048509322997,146,-366
1778559735.071052,599616048517015304,146,-366
1778559735.078744,599616048524707611,146,-327
1778559735.086436,599616048532399918,146,-244
1778559735.094128,599616048540092225,146,-140
1778559735.101821,599616048547784532,146,-29
1778559735.109513,599616048555476839,146,194
1778559735.117205,599616048563169146,146,291
1778559735.124898,599616048570861453,146,-431
1778559735.132590,599616048578553760,146,-1227
1778559735.140282,599616048586246067,146,-766
1778559735.147974,599616048593938374,146,-140
1778559735.155667,599616048601630681,146,-339
1778559735.163359,599616048609322988,146,-446
1778559735.171052,599616048617015295,146,-266
1778559735.178744,599616048624707602,146,-293
1778559735.186436,599616048632399909,146,-356
1778559735.194129,599616048640092216,146,-298
1778559735.201821,599616048647784523,146,-286
1778559735.209513,599616048655476830,146,-307
1778559735.217205,599616048663169137,146,-286
1778559735.224898,599616048670861444,146,-266
1778559735.232590,599616048678553751,146,-271
1778559735.240282,599616048686246058,146,-266
1778559735.247975,599616048693938365,146,-254
1778559735.255667,599616048701630672,146,-249
1778559735.263359,599616048709322979,146,-242
1778559735.271051,599616048717015286,146,-232
1778559735.278744,599616048724707593,146,-220
1778559735.286436,599616048732399900,146,-206
1778559735.294128,599616048740092207,146,-194
1778559735.301821,599616048747784514,146,-177
1778559735.309513,599616048755476821,146,-155
1778559735.317205,599616048763169128,146,-128
1778559735.324898,599616048770861435,146,-104
1778559735.332590,599616048778553742,146,-72
1778559735.340282,599616048786246049,146,-33
1778559735.347975,599616048793938356,146,12
1778559735.355667,599616048801630663,146,55
1778559735.363359,599616048809322970,146,92
1778559735.371052,599616048817015277,146,123
1778559735.378744,599616048824707584,146,145
1778559735.386436,599616048832399891,146,147
1778559735.394128,599616048840092198,146,121
1778559735.401821,599616048847784505,146,58
1778559735.409513,599616048855476812,146,-48
1778559735.417205,599616048863169119,146,-174
1778559735.424898,599616048870861426,146,-295
1778559735.432590,599616048878553733,146,-390
1778559735.440282,599616048886246040,146,-458
1778559735.447975,599616048893938347,146,-502
