timestamp,hr_bpm,activity,alert_level,alert_reason,vm_std,rmssd
2026-05-12 11:30:33,60.62,REST,SAFE,,6.09,128.47
2026-05-12 11:30:38,58.3,REST,SAFE,,5.93,137.52
2026-05-12 11:30:43,58.33,REST,SAFE,,6.69,137.73
2026-05-12 11:30:48,59.42,REST,SAFE,,7.15,137.31
2026-05-12 11:30:53,61.07,REST,SAFE,,7.63,134.88
2026-05-12 11:30:58,60.0,REST,SAFE,,6.53,134.79
2026-05-12 11:31:03,58.43,REST,SAFE,,6.58,62.6
2026-05-12 11:31:08,58.52,REST,SAFE,,6.63,65.15
2026-05-12 11:31:13,58.75,REST,SAFE,,5.36,73.44
2026-05-12 11:31:18,59.42,REST,SAFE,,4.36,74.56
2026-05-12 11:31:23,59.54,REST,SAFE,,4.68,74.86
2026-05-12 11:31:28,61.58,REST,SAFE,,8.04,73.98
2026-05-12 11:31:33,65.82,REST,SAFE,,10.03,69.65
2026-05-12 11:31:38,69.34,REST,SAFE,,11.14,55.25
2026-05-12 11:31:43,71.55,REST,SAFE,,12.14,53.75
2026-05-12 11:31:48,72.39,REST,SAFE,,12.6,47.87
2026-05-12 11:31:53,72.24,REST,SAFE,,12.85,42.84
2026-05-12 11:31:58,71.49,REST,SAFE,,12.07,41.44
2026-05-12 11:32:03,69.99,REST,SAFE,,11.13,47.27
2026-05-12 11:32:08,68.76,REST,SAFE,,10.36,53.91
2026-05-12 11:32:13,67.33,REST,SAFE,,9.4,52.85
2026-05-12 11:32:18,65.39,REST,SAFE,,9.07,51.94
2026-05-12 11:32:23,63.86,REST,SAFE,,8.46,47.2
2026-05-12 11:32:28,64.46,REST,SAFE,,7.14,66.23
2026-05-12 11:32:30,64.41,REST,SAFE,,7.08,66.03
