timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778559735.747197,599616050065780186,72,-895.0,80.0,-485.0,1021.1
1778559735.787197,599616050105780186,72,-896.0,64.0,-488.0,1022.28
1778559735.827197,599616050145780186,72,-903.0,57.0,-493.0,1030.39
1778559735.867197,599616050185780186,72,-902.0,59.0,-488.0,1027.24
1778559735.907197,599616050225780186,72,-899.0,73.0,-492.0,1027.42
1778559735.947197,599616050265780186,72,-894.0,59.0,-484.0,1018.32
1778559735.987197,599616050305780186,72,-897.0,54.0,-488.0,1022.58
1778559736.027197,599616050345780186,72,-891.0,56.0,-497.0,1021.78
1778559736.067197,599616050385780186,72,-903.0,53.0,-491.0,1029.22
1778559736.107197,599616050425780186,72,-902.0,61.0,-484.0,1025.47
1778559736.147197,599616050465780186,72,-897.0,58.0,-484.0,1020.9
1778559736.187197,599616050505780186,72,-902.0,55.0,-482.0,1024.18
1778559736.227197,599616050545780186,72,-901.0,62.0,-480.0,1022.76
1778559736.267197,599616050585780186,72,-905.0,58.0,-476.0,1024.19
1778559736.307197,599616050625780186,72,-902.0,59.0,-469.0,1018.35
1778559736.347197,599616050665780186,72,-901.0,62.0,-472.0,1019.03
1778559736.387197,599616050705780186,72,-905.0,53.0,-483.0,1027.19
1778559736.427197,599616050745780186,72,-908.0,59.0,-482.0,1029.69
1778559736.467197,599616050785780186,72,-901.0,57.0,-472.0,1018.74
1778559736.507197,599616050825780186,72,-903.0,58.0,-463.0,1016.44
1778559736.547197,599616050865780186,72,-908.0,59.0,-467.0,1022.76
1778559736.587197,599616050905780186,72,-909.0,54.0,-466.0,1022.91
1778559736.627197,599616050945780186,72,-906.0,55.0,-469.0,1021.68
1778559736.667197,599616050985780186,72,-910.0,51.0,-465.0,1023.19
1778559736.707197,599616051025780186,72,-906.0,53.0,-460.0,1017.47
1778559736.747197,599616051065780186,72,-906.0,60.0,-460.0,1017.86
1778559736.787197,599616051105780186,72,-907.0,60.0,-476.0,1026.07
1778559736.827197,599616051145780186,72,-906.0,58.0,-467.0,1020.93
1778559736.867197,599616051185780186,72,-905.0,64.0,-484.0,1028.29
1778559736.907197,599616051225780186,72,-904.0,58.0,-453.0,1012.81
1778559736.947197,599616051265780186,72,-908.0,66.0,-480.0,1029.18
1778559736.987197,599616051305780186,72,-900.0,63.0,-480.0,1021.94
1778559736.979021,599616051325752232,108,-909.0,63.0,-470.0,1025.26
1778559737.019021,599616051365752232,108,-906.0,59.0,-469.0,1021.9
1778559737.059021,599616051405752232,108,-903.0,62.0,-472.0,1020.8
1778559737.099021,599616051445752232,108,-906.0,63.0,-472.0,1023.52
1778559737.139021,599616051485752232,108,-906.0,64.0,-475.0,1024.97
1778559737.179021,599616051525752232,108,-903.0,66.0,-471.0,1020.59
1778559737.219021,599616051565752232,108,-903.0,59.0,-479.0,1023.88
1778559737.259021,599616051605752232,108,-906.0,58.0,-473.0,1023.68
1778559737.299021,599616051645752232,108,-906.0,61.0,-472.0,1023.4
1778559737.339021,599616051685752232,108,-906.0,59.0,-474.0,1024.2
1778559737.379021,599616051725752232,108,-905.0,57.0,-479.0,1025.53
1778559737.419021,599616051765752232,108,-903.0,59.0,-479.0,1023.88
